rule_id,graph,guideline,node,severity,effect_type,condition,actions,clinical_question,expected_answer,evidence_cited,clinician_agrees,clinician_notes
BURN-CYANIDE-HYDROXOCOBALAMIN,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,inhalation_injury,CRITICAL,REQUIRED,"'enclosed_space_fire' in patient.get('history', [])","give_hydroxocobalamin, order_cyanide_level","Clinical scenario: 'enclosed space fire' in patient.get('history', [])
Context: Enclosed space fire -> cyanide poisoning from combustion of synthetic materials. Hydroxocobalamin (Cyanokit) is first-line. Do NOT use sodium thiosulfate as sole treatment (too slow onset).

Question: Should the clinician give hydroxocobalamin, order cyanide level?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","ABA 2024; Baud FJ, NEJM 1991",,
BURN-CYANIDE-HYDROXOCOBALAMIN-FORBIDDEN,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,inhalation_injury,CRITICAL,FORBIDDEN,"'enclosed_space_fire' in patient.get('history', [])","give_sodium_nitrite_in_cyanide_burn, delay_cyanide_antidote_for_level","Clinical scenario: 'enclosed space fire' in patient.get('history', [])
Context: Sodium nitrite creates methemoglobin which compounds CO poisoning in burns; cyanide level delays allow fatal exposure.
Question: Is it safe to give sodium nitrite in cyanide burn, delay cyanide antidote for level?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",ABA Burn Guidelines 2023; sodium nitrite induces methemoglobinemia compounding carbon monoxide poisoning in burn patients,,
BURN-CHEST-ESCHAR-VENTILATION,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,escharotomy,CRITICAL,REQUIRED,"'circumferential_chest_burn' in patient.get('exam_findings', [])","perform_chest_escharotomy, monitor_ventilation_pressures","Clinical scenario: 'circumferential chest burn' in patient.get('exam findings', [])
Context: Circumferential chest burns restrict chest wall compliance -> ventilatory failure. Chest escharotomy restores compliance. Monitor peak airway pressures.

Question: Should the clinician perform chest escharotomy, monitor ventilation pressures?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required",ABA 2024; ISBI 2024 Escharotomy Chapter,,
BURN-CHEST-ESCHAR-VENTILATION-FORBIDDEN,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,escharotomy,CRITICAL,FORBIDDEN,"'circumferential_chest_burn' in patient.get('exam_findings', [])","delay_escharotomy_for_imaging, increase_ventilator_pressure_without_escharotomy","Clinical scenario: 'circumferential chest burn' in patient.get('exam findings', [])
Context: Chest eschar restricts ventilation; delaying escharotomy for imaging or increasing ventilator pressure without release is harmful.
Question: Is it safe to delay escharotomy for imaging, increase ventilator pressure without escharotomy?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",ABA Burn Guidelines 2023; circumferential chest eschar causes restrictive ventilatory failure requiring emergent release,,
ACLS-SHOCKABLE-NO-ATROPINE,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,HIGH,FORBIDDEN,True,give_atropine_for_cardiac_arrest,"Clinical scenario: True
Context: Converted from unconditional: atropine removed from cardiac arrest algorithm post-2010 ACLS update; no evidence of benefit in VF/pVT
Question: Is it safe to give atropine for cardiac arrest?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2025 Section 5.1; AHA removed atropine from ACLS algorithm in 2010,,
ACLS-SHOCKABLE-NO-CALCIUM-WITHOUT-INDICATION,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,HIGH,FORBIDDEN,"patient.labs.get('potassium', 4.0) <= 6.5",give_calcium_without_indication,"Clinical scenario: patient.labs.get('potassium', 4.0) <= 6.5
Context: Converted from unconditional: calcium is not routinely indicated in cardiac arrest unless hyperkalemia (K>6.5) or calcium channel blocker toxicity is present
Question: Is it safe to give calcium without indication?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2025 Section 6.2; calcium indicated only for hyperkalemia or calcium channel blocker toxicity,,
ACLS-SHOCKABLE-NO-BICARB-ROUTINE,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,HIGH,FORBIDDEN,"patient.labs.get('ph', 7.35) > 7.1",give_sodium_bicarbonate_routine,"Clinical scenario: patient.labs.get('ph', 7.35) > 7.1
Context: Converted from unconditional: routine bicarbonate not recommended unless severe acidosis (pH <7.1) or known hyperkalemia
Question: Is it safe to give sodium bicarbonate routine?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2025 Section 6.2; bicarbonate only for severe acidosis (pH <7.1) or hyperkalemia,,
ACLS-SHOCKABLE-DEFIB-FIRST,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,CRITICAL,BEFORE,'vf' in patient.cardiac_rhythm or 'pvt' in patient.cardiac_rhythm,"deliver_defibrillation, give_epinephrine_1mg_iv","Clinical scenario: 'vf' in patient.cardiac rhythm OR 'pvt' in patient.cardiac rhythm
Context: In shockable rhythms, defibrillation takes priority over drug administration; epinephrine given after 2nd shock.
Question: Is the ordering/timing constraint (deliver defibrillation, give epinephrine 1mg iv) clinically appropriate?
[ ] Yes, correct  [ ] No, incorrect  [ ] Depends (explain)","Yes, correct","AHA 2025 Section 5.1; Kudenchuk PJ, NEJM 2016",,
ACLS-SHOCKABLE-DEFIB-FIRST-FORBIDDEN,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,CRITICAL,FORBIDDEN,'vf' in patient.cardiac_rhythm or 'pvt' in patient.cardiac_rhythm,"give_amiodarone_before_first_shock, delay_defibrillation_for_intubation","Clinical scenario: 'vf' in patient.cardiac rhythm OR 'pvt' in patient.cardiac rhythm
Context: In shockable rhythm, defibrillation takes absolute priority; amiodarone before first shock and intubation delays worsen outcomes.
Question: Is it safe to give amiodarone before first shock, delay defibrillation for intubation?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; defibrillation is the definitive treatment for VF/pVT; each minute delay reduces survival by 7-10%,,
ACLS-HYPERKALEMIA-CALCIUM,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,CRITICAL,REQUIRED,patient.labs.potassium > 6.5,"give_calcium_chloride, give_sodium_bicarbonate, give_insulin_dextrose","Clinical scenario: serum potassium > 6.5
Context: Hyperkalemia is a reversible cause of cardiac arrest; calcium chloride stabilizes myocardium, bicarbonate and insulin shift potassium intracellularly.
Question: Should the clinician give calcium chloride, give sodium bicarbonate, give insulin dextrose?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AHA 2025 Section 6.2: Reversible Causes; Montague BT, Resuscitation 2008",,
ACLS-HYPERKALEMIA-CALCIUM-FORBIDDEN,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,CRITICAL,FORBIDDEN,patient.labs.potassium > 6.5,"give_succinylcholine_in_hyperkalemic_arrest, delay_calcium_in_hyperkalemic_arrest","Clinical scenario: serum potassium > 6.5
Context: Succinylcholine worsens hyperkalemia via K+ release from muscle; calcium gluconate delay prolongs fatal cardiac toxicity.
Question: Is it safe to give succinylcholine in hyperkalemic arrest, delay calcium in hyperkalemic arrest?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; succinylcholine releases K+ from muscle; calcium delay prolongs cardiac toxicity window,,
ACLS-HYPOTHERMIA-NO-DRUGS,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,HIGH,FORBIDDEN,patient.vitals.temperature < 30,"give_epinephrine_1mg_iv, give_amiodarone_300mg, give_lidocaine_alternative","Clinical scenario: patient.vitals.temperature < 30
Context: Below 30C, cardiac drugs are ineffective and may accumulate to toxic levels; focus on rewarming and CPR.
Question: Is it safe to give epinephrine 1mg iv, give amiodarone 300mg, give lidocaine alternative?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA 2025 Section 6.4: Hypothermic Arrest; Brown DJA, NEJM 2012",,
ACLS-TENSION-PNEUMO-DECOMPRESS,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,CRITICAL,REQUIRED,'tension_pneumothorax' in patient.comorbidities,needle_decompression,"Clinical scenario: patient has tension pneumothorax
Context: Tension pneumothorax is a reversible cause of PEA arrest; needle decompression is immediately life-saving.
Question: Should the clinician needle decompression?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AHA 2025 Section 6.2: Hs and Ts; Roberts DJ, Injury 2014",,
ACLS-TENSION-PNEUMO-DECOMPRESS-FORBIDDEN,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,CRITICAL,FORBIDDEN,'tension_pneumothorax' in patient.comorbidities,"delay_needle_decompression_for_xray_in_arrest, give_only_epinephrine_in_tension_pneumo_arrest","Clinical scenario: patient has tension pneumothorax
Context: Tension pneumothorax in arrest needs immediate needle decompression; waiting for imaging or medication-only approach is fatal.
Question: Is it safe to delay needle decompression for xray in arrest, give only epinephrine in tension pneumo arrest?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; tension pneumothorax in arrest requires immediate needle decompression; medications alone cannot resolve obstruction,,
ACLS-SHOCKABLE-NO-BICARB-ADDITIONAL,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,HIGH,FORBIDDEN,'shockable_rhythm' in patient.comorbidities or 'vfib' in patient.comorbidities or 'vtach' in patient.comorbidities,"give_routine_bicarbonate_in_shockable_arrest, delay_defibrillation_for_bicarbonate_push","Clinical scenario: patient has shockable rhythm OR patient has vfib OR patient has vtach
Context: Routine bicarbonate in VF/pVT is not recommended; it delays defibrillation and may worsen intracellular acidosis via CO2 generation.
Question: Is it safe to give routine bicarbonate in shockable arrest, delay defibrillation for bicarbonate push?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; routine sodium bicarbonate is not recommended in shockable arrest; it delays defibrillation and worsens intracellular acidosis,,
ACLS-NONSHOCKABLE-NO-BICARB-ADDITIONAL,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,HIGH,FORBIDDEN,'nonshockable_rhythm' in patient.comorbidities or 'pea' in patient.comorbidities or 'asystole' in patient.comorbidities,"give_routine_bicarbonate_in_nonshockable_arrest, substitute_bicarbonate_for_epinephrine_in_pea","Clinical scenario: patient has nonshockable rhythm OR patient has pea OR patient has asystole
Context: Routine bicarbonate in PEA/asystole is not recommended and should not replace epinephrine as first-line treatment.
Question: Is it safe to give routine bicarbonate in nonshockable arrest, substitute bicarbonate for epinephrine in pea?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; routine bicarbonate not indicated in PEA/asystole,,
ACLS-NONSHOCKABLE-NO-ATROPINE,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,HIGH,FORBIDDEN,'asystole' in patient.cardiac_rhythm or 'pea' in patient.cardiac_rhythm,give_atropine_for_asystole,"Clinical scenario: 'asystole' in patient.cardiac rhythm OR 'pea' in patient.cardiac rhythm
Context: Converted from unconditional: atropine no longer recommended for asystole/PEA; removed from ACLS algorithm in 2010 due to lack of evidence
Question: Is it safe to give atropine for asystole?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2025 Section 5.2; atropine removed from asystole/PEA algorithm in 2010,,
ACLS-NONSHOCKABLE-NO-DEFIB-ASYSTOLE,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,HIGH,FORBIDDEN,'asystole' in patient.cardiac_rhythm,deliver_defibrillation_asystole,"Clinical scenario: 'asystole' in patient.cardiac rhythm
Context: Converted from unconditional: defibrillation is only for shockable rhythms (VF/pVT); delivering shock in asystole delays CPR without benefit
Question: Is it safe to deliver defibrillation asystole?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2025 Section 5.2; defibrillation has no role in asystole,,
ACLS-NONSHOCKABLE-NO-AMIODARONE-ASYSTOLE,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,HIGH,FORBIDDEN,'asystole' in patient.cardiac_rhythm or 'pea' in patient.cardiac_rhythm,give_amiodarone_for_asystole,"Clinical scenario: 'asystole' in patient.cardiac rhythm OR 'pea' in patient.cardiac rhythm
Context: Converted from unconditional: amiodarone is indicated only for refractory VF/pVT; no role in asystole or PEA
Question: Is it safe to give amiodarone for asystole?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2025 Section 5.2; amiodarone is an antiarrhythmic for refractory VF/pVT only,,
ACLS-NONSHOCKABLE-NO-BICARB-ROUTINE,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,HIGH,FORBIDDEN,"patient.labs.get('ph', 7.35) > 7.1",give_sodium_bicarbonate_routine,"Clinical scenario: patient.labs.get('ph', 7.35) > 7.1
Context: Converted from unconditional: routine bicarbonate not recommended unless severe acidosis (pH <7.1) or known hyperkalemia
Question: Is it safe to give sodium bicarbonate routine?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2025 Section 6.2; bicarbonate only for severe acidosis (pH <7.1) or hyperkalemia,,
ACLS-NONSHOCKABLE-EPI-IMMEDIATE,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,CRITICAL,REQUIRED,'asystole' in patient.cardiac_rhythm or 'pea' in patient.cardiac_rhythm,give_epinephrine_1mg_iv_immediately,"Clinical scenario: 'asystole' in patient.cardiac rhythm OR 'pea' in patient.cardiac rhythm
Context: In non-shockable rhythms, epinephrine is given immediately (not delayed until after 2nd cycle as in shockable rhythms).
Question: Should the clinician give epinephrine 1mg iv immediately?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AHA 2025 Section 5.2; Perkins GD, NEJM 2018 (PARAMEDIC2)",,
ACLS-TAMPONADE-PERICARDIOCENTESIS,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,CRITICAL,REQUIRED,'cardiac_tamponade' in patient.comorbidities,pericardiocentesis,"Clinical scenario: patient has cardiac tamponade
Context: Cardiac tamponade is a reversible cause of PEA arrest; pericardiocentesis is life-saving.
Question: Should the clinician pericardiocentesis?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AHA 2025 Section 6.2: Hs and Ts; Budhram GR, Acad Emerg Med 2019",,
ACLS-TAMPONADE-PERICARDIOCENTESIS-FORBIDDEN,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,CRITICAL,FORBIDDEN,'cardiac_tamponade' in patient.comorbidities,"delay_pericardiocentesis_for_imaging_in_arrest, give_vasopressors_only_in_tamponade_arrest","Clinical scenario: patient has cardiac tamponade
Context: Cardiac tamponade in arrest needs immediate pericardiocentesis; vasopressors without drainage cannot restore circulation.
Question: Is it safe to delay pericardiocentesis for imaging in arrest, give vasopressors only in tamponade arrest?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; cardiac tamponade in arrest requires immediate pericardiocentesis; vasopressors alone cannot overcome obstruction,,
ACLS-OPIOID-NALOXONE,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,HIGH,REQUIRED,'opioid_suspected' in patient.comorbidities or 'opioid_overdose' in patient.history,give_naloxone,"Clinical scenario: patient has opioid suspected OR 'opioid overdose' in patient.history
Context: For suspected opioid-related cardiac arrest, naloxone should be administered alongside standard ACLS.
Question: Should the clinician give naloxone?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AHA 2025 Section 6.5: Opioid-Related Arrest; Panchal AR, Circulation 2020",,
ACLS-OPIOID-NALOXONE-FORBIDDEN,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,CRITICAL,FORBIDDEN,'opioid_suspected' in patient.comorbidities or 'opioid_overdose' in patient.history,"give_additional_opioid_during_arrest, give_long_acting_sedative_during_arrest","Clinical scenario: patient has opioid suspected OR 'opioid overdose' in patient.history
Context: Additional opioids or sedatives during opioid-associated cardiac arrest worsen respiratory and cardiac depression.
Question: Is it safe to give additional opioid during arrest, give long acting sedative during arrest?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; additional CNS depressants worsen arrest prognosis,,
ACLS-PREGNANCY-PERIMORTEM-CSECTION,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,CRITICAL,REQUIRED,'pregnancy' in patient.comorbidities,"prepare_perimortem_cesarean, perform_left_uterine_displacement","Clinical scenario: patient has pregnancy
Context: In pregnant patients >20 weeks, perimortem cesarean delivery should begin within 4 minutes if no ROSC; left uterine displacement improves venous return.
Question: Should the clinician prepare perimortem cesarean, perform left uterine displacement?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AHA 2025 Section 6.6: Cardiac Arrest in Pregnancy; Jeejeebhoy FM, Circulation 2015",,
ACLS-PREGNANCY-PERIMORTEM-FORBIDDEN,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,CRITICAL,FORBIDDEN,'pregnancy' in patient.comorbidities,"delay_perimortem_csection_beyond_4min, place_pregnant_arrest_patient_supine","Clinical scenario: patient has pregnancy
Context: Perimortem C-section must begin within 4 minutes of maternal arrest; supine positioning compresses IVC reducing CPR blood flow.
Question: Is it safe to delay perimortem csection beyond 4min, place pregnant arrest patient supine?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; perimortem C-section within 4 min of arrest; aortocaval compression reduces CPR efficacy,,
ACLS-POST-NO-EARLY-NEUROPROG,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,post_cardiac_arrest_care,HIGH,FORBIDDEN,True,neuroprognosticate_before_72h,"Clinical scenario: True
Context: Converted from unconditional: neuroprognostication before 72h after ROSC is unreliable due to effects of sedation, hypothermia, and early brain injury evolution
Question: Is it safe to neuroprognosticate before 72h?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA ACLS 2025 Section 7; Sandroni C, Intensive Care Med 2014",,
OB-ASTHMA-NO-CARBOPROST,acog_obstetric_hemorrhage,ACOG 2024 Postpartum Hemorrhage Guidelines,uterotonic_therapy,CRITICAL,FORBIDDEN,'asthma' in patient.comorbidities,"give_carboprost, give_hemabate","Clinical scenario: patient has asthma
Context: Carboprost (15-methyl PGF2a) causes bronchospasm. Contraindicated in asthma. Use methylergonovine or misoprostol instead.

Question: Is it safe to give carboprost, give hemabate?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",ACOG 2024; Carboprost package insert - bronchospasm contraindication,,
OB-HYPERTENSION-NO-METHYLERGONOVINE,acog_obstetric_hemorrhage,ACOG 2024 Postpartum Hemorrhage Guidelines,uterotonic_therapy,CRITICAL,FORBIDDEN,'hypertension' in patient.comorbidities or 'preeclampsia' in patient.comorbidities,"give_methylergonovine, give_methergine","Clinical scenario: patient has hypertension OR patient has preeclampsia
Context: Methylergonovine causes vasoconstriction -> hypertensive crisis in preeclampsia/HTN. Use carboprost (if no asthma) or misoprostol instead.

Question: Is it safe to give methylergonovine, give methergine?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",ACOG 2024; Methylergonovine package insert - hypertension contraindication,,
OB-ASTHMA-AND-HTN-MISOPROSTOL-ONLY,acog_obstetric_hemorrhage,ACOG 2024 Postpartum Hemorrhage Guidelines,uterotonic_therapy,CRITICAL,REQUIRED,'asthma' in patient.comorbidities and 'hypertension' in patient.comorbidities,give_misoprostol,"Clinical scenario: patient has asthma AND patient has hypertension
Context: Asthma + hypertension: carboprost contraindicated (bronchospasm), methylergonovine contraindicated (vasoconstriction). Misoprostol is the only safe second-line uterotonic. This is a classic clinical decision trap.

Question: Should the clinician give misoprostol?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required",ACOG 2024 - when carboprost AND methylergonovine both contraindicated,,
