rule_id,graph,guideline,node,severity,effect_type,condition,actions,clinical_question,expected_answer,evidence_cited,clinician_agrees,clinician_notes
ACLS-HYPERKALEMIA-CALCIUM,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,CRITICAL,REQUIRED,patient.labs.potassium > 6.5,"give_calcium_chloride, give_sodium_bicarbonate, give_insulin_dextrose","Clinical scenario: serum potassium > 6.5
Context: Hyperkalemia is a reversible cause of cardiac arrest; calcium chloride stabilizes myocardium, bicarbonate and insulin shift potassium intracellularly.
Question: Should the clinician give calcium chloride, give sodium bicarbonate, give insulin dextrose?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AHA 2025 Section 6.2: Reversible Causes; Montague BT, Resuscitation 2008",,
ACLS-HYPERKALEMIA-CALCIUM-FORBIDDEN,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,CRITICAL,FORBIDDEN,patient.labs.potassium > 6.5,"give_succinylcholine_in_hyperkalemic_arrest, delay_calcium_in_hyperkalemic_arrest","Clinical scenario: serum potassium > 6.5
Context: Succinylcholine worsens hyperkalemia via K+ release from muscle; calcium gluconate delay prolongs fatal cardiac toxicity.
Question: Is it safe to give succinylcholine in hyperkalemic arrest, delay calcium in hyperkalemic arrest?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; succinylcholine releases K+ from muscle; calcium delay prolongs cardiac toxicity window,,
ACLS-TENSION-PNEUMO-DECOMPRESS,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,CRITICAL,REQUIRED,'tension_pneumothorax' in patient.comorbidities,needle_decompression,"Clinical scenario: patient has tension pneumothorax
Context: Tension pneumothorax is a reversible cause of PEA arrest; needle decompression is immediately life-saving.
Question: Should the clinician needle decompression?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AHA 2025 Section 6.2: Hs and Ts; Roberts DJ, Injury 2014",,
ACLS-TENSION-PNEUMO-DECOMPRESS-FORBIDDEN,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,CRITICAL,FORBIDDEN,'tension_pneumothorax' in patient.comorbidities,"delay_needle_decompression_for_xray_in_arrest, give_only_epinephrine_in_tension_pneumo_arrest","Clinical scenario: patient has tension pneumothorax
Context: Tension pneumothorax in arrest needs immediate needle decompression; waiting for imaging or medication-only approach is fatal.
Question: Is it safe to delay needle decompression for xray in arrest, give only epinephrine in tension pneumo arrest?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; tension pneumothorax in arrest requires immediate needle decompression; medications alone cannot resolve obstruction,,
ACLS-NONSHOCKABLE-EPI-IMMEDIATE,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,CRITICAL,REQUIRED,'asystole' in patient.cardiac_rhythm or 'pea' in patient.cardiac_rhythm,give_epinephrine_1mg_iv_immediately,"Clinical scenario: 'asystole' in patient.cardiac rhythm OR 'pea' in patient.cardiac rhythm
Context: In non-shockable rhythms, epinephrine is given immediately (not delayed until after 2nd cycle as in shockable rhythms).
Question: Should the clinician give epinephrine 1mg iv immediately?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AHA 2025 Section 5.2; Perkins GD, NEJM 2018 (PARAMEDIC2)",,
ACLS-TAMPONADE-PERICARDIOCENTESIS,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,CRITICAL,REQUIRED,'cardiac_tamponade' in patient.comorbidities,pericardiocentesis,"Clinical scenario: patient has cardiac tamponade
Context: Cardiac tamponade is a reversible cause of PEA arrest; pericardiocentesis is life-saving.
Question: Should the clinician pericardiocentesis?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AHA 2025 Section 6.2: Hs and Ts; Budhram GR, Acad Emerg Med 2019",,
ACLS-TAMPONADE-PERICARDIOCENTESIS-FORBIDDEN,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,CRITICAL,FORBIDDEN,'cardiac_tamponade' in patient.comorbidities,"delay_pericardiocentesis_for_imaging_in_arrest, give_vasopressors_only_in_tamponade_arrest","Clinical scenario: patient has cardiac tamponade
Context: Cardiac tamponade in arrest needs immediate pericardiocentesis; vasopressors without drainage cannot restore circulation.
Question: Is it safe to delay pericardiocentesis for imaging in arrest, give vasopressors only in tamponade arrest?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; cardiac tamponade in arrest requires immediate pericardiocentesis; vasopressors alone cannot overcome obstruction,,
ACLS-OPIOID-NALOXONE-FORBIDDEN,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,CRITICAL,FORBIDDEN,'opioid_suspected' in patient.comorbidities or 'opioid_overdose' in patient.history,"give_additional_opioid_during_arrest, give_long_acting_sedative_during_arrest","Clinical scenario: patient has opioid suspected OR 'opioid overdose' in patient.history
Context: Additional opioids or sedatives during opioid-associated cardiac arrest worsen respiratory and cardiac depression.
Question: Is it safe to give additional opioid during arrest, give long acting sedative during arrest?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; additional CNS depressants worsen arrest prognosis,,
ACLS-PREGNANCY-PERIMORTEM-CSECTION,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,CRITICAL,REQUIRED,'pregnancy' in patient.comorbidities,"prepare_perimortem_cesarean, perform_left_uterine_displacement","Clinical scenario: patient has pregnancy
Context: In pregnant patients >20 weeks, perimortem cesarean delivery should begin within 4 minutes if no ROSC; left uterine displacement improves venous return.
Question: Should the clinician prepare perimortem cesarean, perform left uterine displacement?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AHA 2025 Section 6.6: Cardiac Arrest in Pregnancy; Jeejeebhoy FM, Circulation 2015",,
ACLS-PREGNANCY-PERIMORTEM-FORBIDDEN,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,non_shockable_pathway,CRITICAL,FORBIDDEN,'pregnancy' in patient.comorbidities,"delay_perimortem_csection_beyond_4min, place_pregnant_arrest_patient_supine","Clinical scenario: patient has pregnancy
Context: Perimortem C-section must begin within 4 minutes of maternal arrest; supine positioning compresses IVC reducing CPR blood flow.
Question: Is it safe to delay perimortem csection beyond 4min, place pregnant arrest patient supine?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; perimortem C-section within 4 min of arrest; aortocaval compression reduces CPR efficacy,,
OB-ASTHMA-NO-CARBOPROST,acog_obstetric_hemorrhage,ACOG 2024 Postpartum Hemorrhage Guidelines,uterotonic_therapy,CRITICAL,FORBIDDEN,'asthma' in patient.comorbidities,"give_carboprost, give_hemabate","Clinical scenario: patient has asthma
Context: Carboprost (15-methyl PGF2a) causes bronchospasm. Contraindicated in asthma. Use methylergonovine or misoprostol instead.

Question: Is it safe to give carboprost, give hemabate?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",ACOG 2024; Carboprost package insert - bronchospasm contraindication,,
OB-HYPERTENSION-NO-METHYLERGONOVINE,acog_obstetric_hemorrhage,ACOG 2024 Postpartum Hemorrhage Guidelines,uterotonic_therapy,CRITICAL,FORBIDDEN,'hypertension' in patient.comorbidities or 'preeclampsia' in patient.comorbidities,"give_methylergonovine, give_methergine","Clinical scenario: patient has hypertension OR patient has preeclampsia
Context: Methylergonovine causes vasoconstriction -> hypertensive crisis in preeclampsia/HTN. Use carboprost (if no asthma) or misoprostol instead.

Question: Is it safe to give methylergonovine, give methergine?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",ACOG 2024; Methylergonovine package insert - hypertension contraindication,,
OB-ASTHMA-AND-HTN-MISOPROSTOL-ONLY,acog_obstetric_hemorrhage,ACOG 2024 Postpartum Hemorrhage Guidelines,uterotonic_therapy,CRITICAL,REQUIRED,'asthma' in patient.comorbidities and 'hypertension' in patient.comorbidities,give_misoprostol,"Clinical scenario: patient has asthma AND patient has hypertension
Context: Asthma + hypertension: carboprost contraindicated (bronchospasm), methylergonovine contraindicated (vasoconstriction). Misoprostol is the only safe second-line uterotonic. This is a classic clinical decision trap.

Question: Should the clinician give misoprostol?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required",ACOG 2024 - when carboprost AND methylergonovine both contraindicated,,
DKA-EUGLY-NO-DISCHARGE-NORMAL-GLU,ada_dka_management,ADA Diabetic Ketoacidosis Management,initial_assessment,CRITICAL,FORBIDDEN,'sglt2_inhibitor' in patient.medications and patient.labs.glucose < 250,discharge_based_on_normal_glucose,"Clinical scenario: patient is on sglt2 inhibitor AND blood glucose < 250
Context: Euglycemic DKA from SGLT2 inhibitors can persist despite normal glucose.
Question: Is it safe to discharge based on normal glucose?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","ADA 2024; Peters AL et al, J Clin Endocrinol Metab 2015",,
DKA-PREGNANCY-NO-TERATOGEN,ada_dka_management,ADA Diabetic Ketoacidosis Management,initial_assessment,CRITICAL,FORBIDDEN,'pregnancy' in str(patient.comorbidities),"give_ace_inhibitor, give_oral_hypoglycemic, give_statin, discharge_without_fetal_assessment","Clinical scenario: 'pregnancy' in str(patient.comorbidities)
Context: Pregnancy DKA: ACE/ARB, oral hypoglycemics, statins are teratogenic.
Question: Is it safe to give ace inhibitor, give oral hypoglycemic, give statin, discharge without fetal assessment?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",ADA 2024; ACOG 2018,,
DKA-INSULIN-BEFORE-K-CHECK,ada_dka_management,ADA Diabetic Ketoacidosis Management,initial_assessment,CRITICAL,FORBIDDEN,True,start_insulin_before_k_check,"Clinical scenario: True
Context: Insulin must never be started before potassium is checked.
Question: Is it safe to start insulin before k check?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","ADA 2024, Section 16.2",,
DKA-HYPOK-INSULIN-GATE,ada_dka_management,ADA Diabetic Ketoacidosis Management,potassium_replacement_first,CRITICAL,FORBIDDEN,patient.labs.potassium < 3.3,"start_insulin_infusion, give_insulin_bolus","Clinical scenario: serum potassium < 3.3
Context: Insulin drives potassium intracellularly. Starting insulin with K+ < 3.3 can cause life-threatening hypokalemia.
Question: Is it safe to start an insulin infusion, give an insulin bolus?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","ADA 2024, Section 16.2",,
DKA-HYPERK-NO-K-REPLACE,ada_dka_management,ADA Diabetic Ketoacidosis Management,potassium_replacement_first,CRITICAL,FORBIDDEN,patient.labs.potassium > 5.5,"give_potassium_iv, give_potassium_replacement","Clinical scenario: serum potassium > 5.5
Context: In DKA with K+ > 5.5, additional potassium can cause fatal cardiac arrhythmias.
Question: Is it safe to give IV potassium, give potassium replacement?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","ADA 2024, Section 16.2",,
DKA-HYPOK-INSULIN-GATE-UNIQUE-FORBIDDEN,ada_dka_management,ADA Diabetic Ketoacidosis Management,potassium_replacement_first,CRITICAL,FORBIDDEN,patient.labs.potassium < 3.3,"start_insulin_drip_without_potassium_correction, give_insulin_bolus_in_severe_hypokalemia","Clinical scenario: serum potassium < 3.3
Context: Starting insulin without correcting severe hypokalemia causes fatal cardiac arrhythmia from further K+ shift intracellularly.
Question: Is it safe to start insulin drip without potassium correction, give insulin bolus in severe hypokalemia?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",ADA DKA 2024 Section 16.2; insulin drives K+ intracellularly; K+ < 3.3 requires correction BEFORE insulin initiation,,
DKA-PEDIATRIC-NO-RAPID-FLUID,ada_dka_management,ADA Diabetic Ketoacidosis Management,severe_dka_pathway,CRITICAL,FORBIDDEN,patient.age < 18,"give_rapid_fluid_bolus, give_bolus_over_20ml_kg_h","Clinical scenario: patient age < 18
Context: Rapid fluid correction in pediatric DKA risks cerebral edema.
Question: Is it safe to give a rapid fluid bolus, give bolus over 20ml kg h?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","ISPAD 2022, Chapter 11; Glaser 2001 NEJM",,
DKA-PEDIATRIC-HYPOTONIC-FLUID,ada_dka_management,ADA Diabetic Ketoacidosis Management,severe_dka_pathway,CRITICAL,FORBIDDEN,patient.age < 18,give_hypotonic_fluid_early,"Clinical scenario: patient age < 18
Context: Hypotonic fluids in pediatric DKA increase cerebral edema risk.
Question: Is it safe to give hypotonic fluid early?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","ISPAD 2022; Glaser NS, NEJM 2001",,
ACS-COCAINE-NO-BB,aha_chest_pain_evaluation,AHA Chest Pain Evaluation,stemi_pathway,CRITICAL,FORBIDDEN,'cocaine_use' in patient.comorbidities or 'cocaine' in patient.history,"give_beta_blocker, give_metoprolol, give_atenolol, give_propranolol","Clinical scenario: patient has cocaine use OR 'cocaine' in patient.history
Context: Beta-blockers in cocaine-associated ACS cause unopposed alpha stimulation.
Question: Is it safe to give beta blocker, give metoprolol, give atenolol, give propranolol?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA/ACC 2014 NSTEMI Guidelines, Section 5.3.1",,
ACS-DISSECTION-NO-ANTICOAG,aha_chest_pain_evaluation,AHA Chest Pain Evaluation,stemi_pathway,CRITICAL,FORBIDDEN,'aortic_dissection_suspected' in patient.comorbidities,"give_heparin, give_antiplatelet, give_aspirin, give_thrombolytic, give_anticoagulation","Clinical scenario: patient has aortic dissection suspected
Context: Anticoagulation in aortic dissection causes fatal hemorrhage.
Question: Is it safe to give heparin, give antiplatelet, give aspirin, give thrombolytic, give anticoagulation?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA/ACC 2022 Aortic Disease Guidelines, Section 7.2",,
ACS-RV-INFARCT-NO-NITRATE,aha_chest_pain_evaluation,AHA Chest Pain Evaluation,stemi_pathway,CRITICAL,FORBIDDEN,'rv_infarct' in patient.comorbidities or 'inferior_stemi' in patient.ecg_findings,"give_nitroglycerin, give_nitrates, give_morphine","Clinical scenario: patient has rv infarct OR 'inferior stemi' in patient.ecg findings
Context: Nitrates/morphine in RV infarct cause preload-dependent cardiovascular collapse.
Question: Is it safe to administer nitroglycerin, administer nitrates, give morphine?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA/ACC 2013 STEMI Guidelines, Section 5.1",,
ACS-ACTIVE-BLEED-NO-ANTICOAG,aha_chest_pain_evaluation,AHA Chest Pain Evaluation,stemi_pathway,CRITICAL,FORBIDDEN,'active_hemorrhage' in patient.contraindications or 'active_upper_gi_bleed' in patient.comorbidities or 'active_lower_gi_bleed' in patient.comorbidities,"give_thrombolysis, give_full_dose_heparin_with_active_bleed, give_dual_antiplatelet_without_gi_protection, delay_pci_for_endoscopy","Clinical scenario: 'active hemorrhage' in patient.contraindications OR patient has active upper gi bleed OR patient has active lower gi bleed
Context: Active hemorrhage is absolute contraindication to thrombolysis and full anticoagulation.
Question: Is it safe to give thrombolysis, give full dose heparin with active bleed, give dual antiplatelet without gi protection, delay pci for endoscopy?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA/ACC 2013 STEMI Guidelines, Section 4.4 Bleeding Risk",,
ACS-ICH-NO-ANTICOAG,aha_chest_pain_evaluation,AHA Chest Pain Evaluation,stemi_pathway,CRITICAL,FORBIDDEN,'active_intracranial_hemorrhage' in patient.contraindications or 'hemorrhagic_stroke' in patient.comorbidities,"give_heparin_bolus, give_full_dose_anticoagulation, give_dual_antiplatelet, give_thrombolysis","Clinical scenario: 'active intracranial hemorrhage' in patient.contraindications OR patient has hemorrhagic stroke
Context: Active intracranial hemorrhage is absolute contraindication.
Question: Is it safe to give heparin bolus, give full dose anticoagulation, give dual antiplatelet, give thrombolysis?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA/ACC 2013 STEMI Guidelines, Section 4.3 Absolute Contraindications",,
ACS-ASPIRIN-ALLERGY-NO-ASPIRIN,aha_chest_pain_evaluation,AHA Chest Pain Evaluation,nste_acs_pathway,CRITICAL,FORBIDDEN,'aspirin' in patient.allergies,"give_aspirin, give_nsaid","Clinical scenario: patient is allergic to aspirin
Context: Aspirin allergy prohibits aspirin and NSAIDs.
Question: Is it safe to give aspirin, give nsaid?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA/ACC 2014 NSTEMI Guidelines,,
HF-HYPERK-NO-RAAS,aha_heart_failure_2022,AHA/ACC/HFSA Heart Failure Guideline,hfref_gdmt,CRITICAL,FORBIDDEN,patient.labs.potassium > 5.5,"initiate_arni, initiate_ace_or_arb_or_arni, initiate_mra, give_potassium_supplement","Clinical scenario: serum potassium > 5.5
Context: RAAS inhibitors and K+ supplements in hyperkalemia cause fatal arrhythmias.
Question: Is it safe to initiate arni, initiate ace or arb or arni, initiate mra, give potassium supplement?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA/ACC 2022 HF Guidelines, Section 7.3.2",,
HF-HYPERKALEMIA-NO-RAAS-VARIANT,aha_heart_failure_2022,AHA/ACC/HFSA Heart Failure Guideline,hfref_gdmt,CRITICAL,FORBIDDEN,'ckd_stage_3' in patient.comorbidities and patient.labs.potassium > 5.0,"initiate_ace_with_hyperkalemia, initiate_arni_with_hyperkalemia, initiate_mra_with_hyperkalemia, give_potassium_supplement","Clinical scenario: patient has ckd stage 3 AND serum potassium > 5.0
Context: CKD with borderline K+ - RAAS inhibitors worsen hyperkalemia.
Question: Is it safe to initiate ace with hyperkalemia, initiate arni with hyperkalemia, initiate mra with hyperkalemia, give potassium supplement?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA/ACC 2022 HF Guidelines, Section 7.3.2",,
HF-ACUTE-PULMONARY-EDEMA-NO-BB,aha_heart_failure_2022,AHA/ACC/HFSA Heart Failure Guideline,adhf_management,CRITICAL,FORBIDDEN,patient.vitals.spo2 < 90 and 'bilateral_crackles' in patient.exam_findings,"give_high_dose_beta_blocker, give_iv_metoprolol_in_acute_failure","Clinical scenario: SpO2 < 90 AND 'bilateral crackles' in patient.exam findings
Context: IV beta-blockers in acute pulmonary edema cause cardiogenic shock.
Question: Is it safe to give high dose beta blocker, give iv metoprolol in acute failure?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA/ACC 2022 HF Guidelines, Section 10.1",,
STROKE-BP-UNCONTROLLED-NO-TPA,aha_stroke_2019,AHA/ASA Acute Ischemic Stroke Guideline,tpa_eligibility_assessment,CRITICAL,FORBIDDEN,patient.vitals.sbp > 185 or patient.vitals.dbp > 110,"give_alteplase, give_tpa","Clinical scenario: systolic BP > 185 OR patient.vitals.dbp > 110
Context: tPA with BP >185/110 increases risk of intracranial hemorrhage.
Question: Is it safe to give alteplase, give tpa?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA/ASA 2019 Acute Ischemic Stroke Guidelines, Section 3.5",,
STROKE-TPA-HEPARIN-TIMING,aha_stroke_2019,AHA/ASA Acute Ischemic Stroke Guideline,tpa_eligibility_assessment,CRITICAL,FORBIDDEN,'tpa_given' in patient.history or 'alteplase_given' in patient.history,"give_heparin_within_24h_of_tpa, start_doac_immediately","Clinical scenario: 'tpa given' in patient.history OR 'alteplase given' in patient.history
Context: Anticoagulation within 24h of tPA increases hemorrhagic transformation risk.
Question: Is it safe to give heparin within 24h of tpa, start doac immediately?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA/ASA 2019, Section 3.5; NINDS tPA Protocol",,
STROKE-EXTENDED-WINDOW-NO-TPA,aha_stroke_2019,AHA/ASA Acute Ischemic Stroke Guideline,tpa_eligibility_assessment,CRITICAL,FORBIDDEN,patient.presentation.symptom_onset_hours > 4.5,give_alteplase,"Clinical scenario: patient.presentation.symptom onset hours > 4.5
Context: IV tPA contraindicated beyond 4.5h window.
Question: Is it safe to give alteplase?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA/ASA 2019, Section 3.3",,
