graph_id,action,n_scenarios,source,n_models_total,clinician_valid
,assess_aki_risk,2,manual,3,
,assess_renal_function,2,manual,2,
,give_crystalloid_fluid,2,manual,3,
,establish_large_bore_iv_access,2,manual,3,
,review_current_medications,2,manual,3,
,give_magnesium_sulfate,2,manual,3,
,order_ct_angiography_head_neck,2,manual,2,
,perform_left_uterine_displacement,1,manual,7,
,prepare_perimortem_cesarean,1,manual,7,
,hemodynamic_monitoring,1,manual,7,
,give_iv_nitroglycerin,1,manual,7,
,supplemental_oxygen,1,manual,7,
,give_iv_furosemide,1,manual,7,
,monitor_electrolytes,1,manual,7,
,consider_stopping_amiodarone,1,manual,7,
,diagnose_amiodarone_induced_thyrotoxicosis,1,manual,7,
,initiate_anticoagulation,1,manual,7,
,confirm_af_duration_over_48h,1,manual,7,
,order_transesophageal_echo_or_anticoag_3weeks,1,manual,7,
,plan_anticoagulation_after_24h,1,manual,7,
,prepare_for_cardioversion,1,manual,7,
,give_procainamide_or_ibutilide,1,manual,7,
,identify_wpw_pattern,1,manual,7,
,neurological_checks_q15min,1,manual,6,
,reduce_bp_to_below_185_110_before_tpa,1,manual,6,
,start_antiplatelet_after_24h_if_no_hemorrhage,1,manual,6,
,use_iv_labetalol_or_nicardipine,1,manual,6,
,hold_antiplatelet_anticoagulation_24h,1,manual,6,
,maintain_bp_below_180_105_post_tpa,1,manual,6,
,monitor_bp_q15min_x2h_then_q30min_x6h,1,manual,6,
,repeat_ct_24h,1,manual,6,
,discontinue_spironolactone,1,manual,6,
,discontinue_ace_inhibitor,1,manual,6,
,give_albumin_1g_kg,1,manual,6,
,discontinue_diuretics,1,manual,6,
,evaluate_for_hepatorenal_syndrome,1,manual,6,
,give_aggressive_ns_200_300ml_h,1,manual,6,
,monitor_urine_output_target_200ml_h,1,manual,6,
,monitor_potassium_q4h,1,manual,6,
,monitor_ck_serial,1,manual,6,
,avoid_nephrotoxins,1,manual,6,
,review_medications,1,manual,6,
,order_lab_potassium,1,manual,5,
,consider_dialysis,1,manual,5,
,hold_arb,1,manual,5,
,hold_ace_inhibitor,1,manual,5,
,stop_serotonergic_agents,1,manual,3,
,give_cyproheptadine,1,manual,3,
,hold_metformin_before_contrast,1,manual,4,
,hold_metformin_48h_post,1,manual,4,
,monitor_drug_levels,1,manual,4,
,hold_nephrotoxin_before_contrast,1,manual,4,
,consider_chest_ct_for_abscess,1,manual,4,
,give_antibiotics_with_anaerobic_coverage,1,manual,4,
,give_supportive_care,1,manual,3,
,plan_reassessment,1,manual,3,
,order_lab_crp,1,manual,3,
,monitor_oxygen_saturation,1,manual,3,
,give_tmp_smx,1,manual,3,
,order_lab_hiv_cd4,1,manual,3,
,order_lab_ldh,1,manual,3,
,give_prednisone_if_pao2_low,1,manual,3,
,order_lab_beta_d_glucan,1,manual,3,
,add_linezolid,1,manual,2,
,add_vancomycin,1,manual,2,
,give_antipseudomonal_beta_lactam,1,manual,2,
,give_iv_beta_blocker_for_rate_control,1,manual,3,
,discuss_contrast_alternatives,1,manual,3,
,use_lowest_contrast_dose,1,manual,3,
,apply_controlled_oxygen_therapy,1,manual,2,
,give_cautious_diuretic,1,manual,2,
,monitor_glucose_closely,1,manual,2,
,give_iv_diuretic,1,manual,2,
,do_not_start_niv_until_pneumothorax_treated,1,manual,3,
,diagnose_pneumothorax,1,manual,3,
,perform_needle_decompression_or_chest_tube,1,manual,3,
,initiate_non_invasive_ventilation,1,manual,3,
,give_dextrose_containing_iv,1,manual,2,
,assess_for_alcoholic_ketoacidosis,1,manual,2,
,order_lab_ethanol_level,1,manual,2,
,give_thiamine_before_glucose,1,manual,2,
,monitor_neurological_status_hourly,1,manual,2,
,elevate_head_of_bed,1,manual,2,
,give_mannitol_or_hypertonic_saline_if_herniation,1,manual,2,
,consider_hemodialysis,1,manual,2,
,order_lab_hba1c,1,manual,2,
,diabetes_education,1,manual,2,
,order_blood_cultures,1,manual,2,
,give_supplemental_oxygen,1,manual,2,
,obstetrics_consult,1,manual,2,
,initiate_fetal_monitoring,1,manual,2,
,place_arterial_line,1,manual,2,
,give_insulin_glucose,1,manual,2,
,give_pcc_or_ffp,1,manual,2,
,plan_anticoag_restart_strategy,1,manual,2,
,give_vitamin_k_low_dose,1,manual,2,
,give_iv_ppi_high_dose,1,manual,2,
,arrange_upper_endoscopy,1,manual,2,
,give_octreotide_or_terlipressin,1,manual,3,
,give_antibiotic_prophylaxis,1,manual,3,
,arrange_emergent_egd,1,manual,3,
,calculate_glasgow_blatchford_score,1,manual,2,
,identify_nsaid_use,1,manual,2,
,optimize_gdmt,1,manual,2,
,reduce_diuretic_dose,1,manual,2,
,assess_orthostatic_vitals,1,manual,2,
,hold_diuretics_if_prerenal,1,manual,2,
,check_bmp,1,manual,2,
,consider_pacemaker_evaluation,1,manual,2,
,reduce_or_hold_beta_blocker,1,manual,2,
,assess_current_medications,1,manual,2,
,check_potassium_before_gdmt,1,manual,2,
,treat_hyperkalemia_first,1,manual,2,
,plan_delivery,1,manual,3,
,give_iv_hydralazine_or_labetalol,1,manual,3,
,start_iv_antihypertensive,1,manual,2,
,target_25_percent_map_reduction_first_hour,1,manual,2,
,reassess_bp_before_tpa,1,manual,3,
,administer_iv_antihypertensive_to_target_185_110,1,manual,3,
,order_lab_plasma_metanephrines,1,manual,3,
,give_phentolamine_or_alpha_blocker,1,manual,3,
,give_iv_labetalol_or_hydralazine,1,manual,1,
,adjust_anticoagulant_dose,1,manual,1,
,give_nitroglycerin,1,manual,1,
,order_lab_urine_drug_screen,1,manual,1,
,give_benzodiazepine,1,manual,1,
,give_ticagrelor,1,manual,1,
,consult_interventional_radiology,1,manual,2,
,start_anticoagulation_heparin,1,manual,2,
,discuss_weight_based_dosing,1,manual,2,
,consult_pharmacy,1,manual,2,
,plan_transition_to_warfarin_with_inr_monitoring,1,manual,2,
,order_lower_extremity_doppler,1,manual,2,
,start_anticoagulation_lmwh,1,manual,2,
,order_imaging_vq_scan_preferred,1,manual,2,
,start_anticoagulation_if_high_probability,1,manual,1,
,give_thrombolytic,1,manual,1,
,give_alteplase_pe,1,manual,1,
,give_benzodiazepine_high_dose,1,manual,1,
,check_antiepileptic_drug_levels,1,manual,1,
,assess_renal_function_before_contrast,1,manual,1,
,verify_allergy_before_antibiotics,1,manual,1,
,give_cautious_fluid_bolus,1,manual,1,
,order_urinalysis,1,manual,1,
,order_lab_cbc_with_diff,1,manual,1,
,give_anti_pseudomonal_antibiotic,1,manual,1,
,assess_need_for_vasopressor,1,manual,1,
,give_alternative_mrsa_coverage,1,manual,1,
,blood_pressure_control,1,manual,1,
,consult_neurosurgery,1,manual,1,
,start_iv_fluid_bolus,1,manual,2,
,assess_ongoing_ischemia,1,manual,1,
,continue_aspirin,1,manual,1,
,document_ticagrelor_timing,1,manual,1,
,assess_antiplatelet_status,1,manual,1,
,plan_cabg_timing_with_washout,1,manual,1,
,identify_cervical_artery_dissection,1,manual,2,
,start_anticoagulation_or_antiplatelet,1,manual,2,
,type_and_screen,1,manual,2,
,stop_tpa_infusion,1,manual,2,
,stat_coagulation_panel,1,manual,2,
,observe_for_improvement,1,manual,2,
,obtain_history_of_seizure,1,manual,2,
,order_eeg_if_available,1,manual,2,
,calculate_chadsvasc,1,manual,1,
,start_doac_preferred,1,manual,1,
,antiplatelet_therapy,1,manual,1,
,calculate_hasbled,1,manual,1,
,statin_therapy,1,manual,1,
,cardiac_monitoring_for_afib,1,manual,1,
,administer_iv_labetalol_or_nicardipine,1,manual,1,
,attempt_bp_reduction,1,manual,1,
,reassess_bp_after_treatment,1,manual,1,
,give_vitamin_k_iv,1,manual,2,
,give_4_factor_pcc,1,manual,2,
,give_glucagon_high_dose,1,manual,1,
,give_high_dose_insulin_euglycemia,1,manual,1,
,give_pralidoxime,1,manual,1,
,serial_troponin_at_3h,1,manual,1,
,give_colchicine_or_corticosteroid,1,manual,2,
,avoid_nsaid_document_reason,1,manual,2,
