macro_name,file,value,category,recompute_phase,notes
\vfMABvsCGA,paper/auto_numbers.tex,10231,B,Phase 3,verdict-dependent (cga)
\vfMABvsCGAPct,paper/auto_numbers.tex,60.4,B,Phase 3,verdict-dependent (cga)
\vfMABvsCTwo,paper/auto_numbers.tex,8678,B,Phase 3,verdict-dependent (ctwo)
\vfMABvsCTwoPct,paper/auto_numbers.tex,51.2,B,Phase 3,verdict-dependent (ctwo)
\bsrAC,paper/auto_numbers.tex,42.5,B,Phase 2,verdict-dependent (bsr)
\bsrACov,paper/auto_numbers.tex,42.5,B,Phase 2,verdict-dependent (bsr)
\bsrCGA,paper/auto_numbers.tex,0.0,B,Phase 2,verdict-dependent (cga)
\bsrCTwo,paper/auto_numbers.tex,14.0,B,Phase 2,verdict-dependent (ctwo)
\bsrDxEM,paper/auto_numbers.tex,50.5,B,Phase 2,verdict-dependent (bsr)
\bsrMAB,paper/auto_numbers.tex,31.9,B,Phase 2,verdict-dependent (bsr)
\bsrMaxOblivious,paper/auto_numbers.tex,50.5,B,Phase 2,verdict-dependent (bsr)
\bsrMinOblivious,paper/auto_numbers.tex,14.0,B,Phase 2,verdict-dependent (bsr)
\bsrNAC,paper/auto_numbers.tex,7202,B,Phase 2,verdict-dependent (bsr)
\bsrNACov,paper/auto_numbers.tex,7202,B,Phase 2,verdict-dependent (bsr)
\bsrNCGA,paper/auto_numbers.tex,0,B,Phase 2,verdict-dependent (cga)
\bsrNCTwo,paper/auto_numbers.tex,2372,B,Phase 2,verdict-dependent (ctwo)
\bsrNDxEM,paper/auto_numbers.tex,8553,B,Phase 2,verdict-dependent (bsr)
\bsrNMAB,paper/auto_numbers.tex,5406,B,Phase 2,verdict-dependent (bsr)
\bsrNoOrderAC,paper/auto_numbers.tex,42.3,B,Phase 2,verdict-dependent (or)
\bsrNoOrderACov,paper/auto_numbers.tex,42.3,B,Phase 2,verdict-dependent (or)
\bsrNoOrderCTwo,paper/auto_numbers.tex,14.0,B,Phase 2,verdict-dependent (ctwo)
\bsrNoOrderDxEM,paper/auto_numbers.tex,50.2,B,Phase 2,verdict-dependent (or)
\bsrNoOrderMAB,paper/auto_numbers.tex,31.7,B,Phase 2,verdict-dependent (or)
\bsrNoStateAC,paper/auto_numbers.tex,41.2,B,Phase 2,verdict-dependent (bsr)
\bsrNoStateACov,paper/auto_numbers.tex,41.2,B,Phase 2,verdict-dependent (bsr)
\bsrNoStateCTwo,paper/auto_numbers.tex,12.6,B,Phase 2,verdict-dependent (ctwo)
\bsrNoStateDxEM,paper/auto_numbers.tex,48.6,B,Phase 2,verdict-dependent (bsr)
\bsrNoStateMAB,paper/auto_numbers.tex,31.0,B,Phase 2,verdict-dependent (bsr)
\bsrNoTimeAC,paper/auto_numbers.tex,7.6,B,Phase 2,verdict-dependent (bsr)
\bsrNoTimeACov,paper/auto_numbers.tex,7.6,B,Phase 2,verdict-dependent (bsr)
\bsrNoTimeCTwo,paper/auto_numbers.tex,3.4,B,Phase 2,verdict-dependent (ctwo)
\bsrNoTimeDxEM,paper/auto_numbers.tex,9.6,B,Phase 2,verdict-dependent (bsr)
\bsrNoTimeMAB,paper/auto_numbers.tex,3.8,B,Phase 2,verdict-dependent (bsr)
\bsrTerminalAC,paper/auto_numbers.tex,0.0,B,Phase 2,verdict-dependent (term)
\bsrTerminalACov,paper/auto_numbers.tex,0.0,B,Phase 2,verdict-dependent (term)
\bsrTerminalCTwo,paper/auto_numbers.tex,0.0,B,Phase 2,verdict-dependent (term)
\bsrTerminalDxEM,paper/auto_numbers.tex,0.0,B,Phase 2,verdict-dependent (term)
\bsrTerminalMAB,paper/auto_numbers.tex,0.0,B,Phase 2,verdict-dependent (term)
\instrFullHard,paper/auto_numbers.tex,8553,B,Phase 3,verdict-dependent (instr)
\instrFullHardRate,paper/auto_numbers.tex,50.5,B,Phase 3,verdict-dependent (instr)
\instrHardNoOrder,paper/auto_numbers.tex,8514,B,Phase 3,verdict-dependent (instr)
\instrHardNoState,paper/auto_numbers.tex,8238,B,Phase 3,verdict-dependent (instr)
\instrHardNoTime,paper/auto_numbers.tex,1632,B,Phase 3,verdict-dependent (instr)
\instrHardTerminal,paper/auto_numbers.tex,0,B,Phase 3,verdict-dependent (term)
\instrNoOrderLoss,paper/auto_numbers.tex,0.5,B,Phase 3,verdict-dependent (instr)
\instrNoOrderRetain,paper/auto_numbers.tex,99.5,B,Phase 3,verdict-dependent (instr)
\instrNoStateLoss,paper/auto_numbers.tex,3.7,B,Phase 3,verdict-dependent (instr)
\instrNoStateRetain,paper/auto_numbers.tex,96.3,B,Phase 3,verdict-dependent (instr)
\instrNoTimeLoss,paper/auto_numbers.tex,80.9,B,Phase 3,verdict-dependent (instr)
\instrNoTimeRetain,paper/auto_numbers.tex,19.1,B,Phase 3,verdict-dependent (instr)
\instrOrderLoss,paper/auto_numbers.tex,0.5,B,Phase 3,verdict-dependent (instr)
\instrOrderRetain,paper/auto_numbers.tex,99.5,B,Phase 3,verdict-dependent (instr)
\instrStateLoss,paper/auto_numbers.tex,3.7,B,Phase 3,verdict-dependent (instr)
\instrStateRetain,paper/auto_numbers.tex,96.3,B,Phase 3,verdict-dependent (instr)
\instrTerminalLoss,paper/auto_numbers.tex,100.0,B,Phase 3,verdict-dependent (term)
\instrTerminalRetain,paper/auto_numbers.tex,0.0,B,Phase 3,verdict-dependent (term)
\instrTimingLoss,paper/auto_numbers.tex,80.9,B,Phase 3,verdict-dependent (instr)
\instrTimingRetain,paper/auto_numbers.tex,19.1,B,Phase 3,verdict-dependent (instr)
\instrViolLostBefore,paper/auto_numbers.tex,283,B,Phase 3,verdict-dependent (instr)
\instrViolLostBeforeNoOrder,paper/auto_numbers.tex,283,B,Phase 3,verdict-dependent (instr)
\instrViolLostBeforeNoState,paper/auto_numbers.tex,0,B,Phase 3,verdict-dependent (instr)
\instrViolLostBeforeNoTime,paper/auto_numbers.tex,283,B,Phase 3,verdict-dependent (instr)
\instrViolLostBeforeTerminal,paper/auto_numbers.tex,283,B,Phase 3,verdict-dependent (term)
\instrViolLostForbidden,paper/auto_numbers.tex,2141,B,Phase 3,verdict-dependent (instr)
\instrViolLostForbiddenNoOrder,paper/auto_numbers.tex,0,B,Phase 3,verdict-dependent (instr)
\instrViolLostForbiddenNoState,paper/auto_numbers.tex,2141,B,Phase 3,verdict-dependent (instr)
\instrViolLostForbiddenNoTime,paper/auto_numbers.tex,0,B,Phase 3,verdict-dependent (instr)
\instrViolLostForbiddenTerminal,paper/auto_numbers.tex,2141,B,Phase 3,verdict-dependent (term)
\instrViolLostWithin,paper/auto_numbers.tex,14989,B,Phase 3,verdict-dependent (instr)
\instrViolLostWithinNoOrder,paper/auto_numbers.tex,0,B,Phase 3,verdict-dependent (instr)
\instrViolLostWithinNoState,paper/auto_numbers.tex,0,B,Phase 3,verdict-dependent (instr)
\instrViolLostWithinNoTime,paper/auto_numbers.tex,14989,B,Phase 3,verdict-dependent (instr)
\instrViolLostWithinTerminal,paper/auto_numbers.tex,14989,B,Phase 3,verdict-dependent (term)
\clusterCGABenchhard,paper/auto_numbers.tex,cluster_2,B,Phase 3,verdict-dependent (cga)
\clusterCGABenchsoft,paper/auto_numbers.tex,cluster_2,B,Phase 3,verdict-dependent (cga)
\clusterPreservedPct,paper/auto_numbers.tex,100.0,B,Phase 3,verdict-dependent (pct)
\fleissKappaMatched,paper/auto_numbers.tex,0.056,B,Phase 3,verdict-dependent (kappa)
\fleissKappaMatchedFifty,paper/auto_numbers.tex,0.056,B,Phase 3,verdict-dependent (kappa)
\fleissKappaMatchedForty,paper/auto_numbers.tex,0.092,B,Phase 3,verdict-dependent (kappa)
\fleissKappaMatchedThirty,paper/auto_numbers.tex,0.051,B,Phase 3,verdict-dependent (kappa)
\kappaACvsCGAMatched,paper/auto_numbers.tex,-0.125,B,Phase 3,verdict-dependent (kappa)
\kappaACvsCGAOpFifty,paper/auto_numbers.tex,-0.125,B,Phase 3,verdict-dependent (kappa)
\kappaACvsCGAOpForty,paper/auto_numbers.tex,-0.071,B,Phase 3,verdict-dependent (kappa)
\kappaACvsCGAOpThirty,paper/auto_numbers.tex,-0.044,B,Phase 3,verdict-dependent (kappa)
\kappaACvsCTwoOpFifty,paper/auto_numbers.tex,0.284,B,Phase 3,verdict-dependent (kappa)
\kappaACvsCTwoOpForty,paper/auto_numbers.tex,0.307,B,Phase 3,verdict-dependent (kappa)
\kappaACvsCTwoOpThirty,paper/auto_numbers.tex,0.261,B,Phase 3,verdict-dependent (kappa)
\kappaACvsMABOpFifty,paper/auto_numbers.tex,0.328,B,Phase 3,verdict-dependent (kappa)
\kappaACvsMABOpForty,paper/auto_numbers.tex,0.343,B,Phase 3,verdict-dependent (kappa)
\kappaACvsMABOpThirty,paper/auto_numbers.tex,0.23,B,Phase 3,verdict-dependent (kappa)
\kappaCTwovsCGAOpFifty,paper/auto_numbers.tex,0.116,B,Phase 3,verdict-dependent (kappa)
\kappaCTwovsCGAOpForty,paper/auto_numbers.tex,0.153,B,Phase 3,verdict-dependent (kappa)
\kappaCTwovsCGAOpThirty,paper/auto_numbers.tex,0.167,B,Phase 3,verdict-dependent (kappa)
\kappaMABvsCGAOpFifty,paper/auto_numbers.tex,-0.186,B,Phase 3,verdict-dependent (kappa)
\kappaMABvsCGAOpForty,paper/auto_numbers.tex,-0.133,B,Phase 3,verdict-dependent (kappa)
\kappaMABvsCGAOpThirty,paper/auto_numbers.tex,-0.135,B,Phase 3,verdict-dependent (kappa)
\kappaMABvsCTwoOpFifty,paper/auto_numbers.tex,-0.08,B,Phase 3,verdict-dependent (kappa)
\kappaMABvsCTwoOpForty,paper/auto_numbers.tex,-0.025,B,Phase 3,verdict-dependent (kappa)
\kappaMABvsCTwoOpThirty,paper/auto_numbers.tex,-0.087,B,Phase 3,verdict-dependent (kappa)
\opPassRateACFifty,paper/auto_numbers.tex,49.1,B,Phase 2,verdict-dependent (pass)
\opPassRateACForty,paper/auto_numbers.tex,41.0,B,Phase 2,verdict-dependent (pass)
\opPassRateACThirty,paper/auto_numbers.tex,31.5,B,Phase 2,verdict-dependent (hi)
\opPassRateCGAFifty,paper/auto_numbers.tex,49.5,B,Phase 2,verdict-dependent (cga)
\opPassRateCGAForty,paper/auto_numbers.tex,49.5,B,Phase 2,verdict-dependent (cga)
\opPassRateCGAThirty,paper/auto_numbers.tex,49.5,B,Phase 2,verdict-dependent (hi)
\opPassRateMABFifty,paper/auto_numbers.tex,48.2,B,Phase 2,verdict-dependent (pass)
\opPassRateMABForty,paper/auto_numbers.tex,38.2,B,Phase 2,verdict-dependent (pass)
\opPassRateMABThirty,paper/auto_numbers.tex,30.8,B,Phase 2,verdict-dependent (hi)
\bootstrapARI,paper/auto_numbers.tex,1.0,B,Phase 3,verdict-dependent (ari)
\bootstrapARIHigh,paper/auto_numbers.tex,1.0,B,Phase 3,verdict-dependent (hi)
\bootstrapARILow,paper/auto_numbers.tex,1.0,B,Phase 3,verdict-dependent (ari)
\cophenetic,paper/auto_numbers.tex,0.852,B,Phase 3,verdict-dependent (cophenetic)
\nBootstrap,paper/auto_numbers.tex,1000,C,,config/threshold parameter
\numClusters,paper/auto_numbers.tex,3,B,Phase 3,default (unclassified)
\numEvaluatorsExpanded,paper/auto_numbers.tex,12,C,,config/threshold parameter
\passRateCGABenchhard,paper/auto_numbers.tex,49.5,B,Phase 2,verdict-dependent (cga)
\passRateCGABenchsoft,paper/auto_numbers.tex,49.5,B,Phase 2,verdict-dependent (cga)
\silhouetteScore,paper/auto_numbers.tex,0.379,B,Phase 3,verdict-dependent (or)
\numGraphsMain,paper/auto_numbers.tex,20,A,,override
\numGraphsHeldout,paper/auto_numbers.tex,5,A,,override
\numGraphsTotal,paper/auto_numbers.tex,25,A,,override
\numConditionalRules,paper/auto_numbers.tex,312,A,,override
\numTotalScenarios,paper/auto_numbers.tex,706,A,,override
\numDomains,paper/auto_numbers.tex,25,A,,override
\numNodes,paper/auto_numbers.tex,167,A,,override
\timeStepMinutes,paper/auto_numbers.tex,5,A,,override
\numComboCandidates,paper/auto_numbers.tex,1237,A,,override
\numModels,paper/auto_numbers.tex,8,C,,corpus/config parameter
\numRuns,paper/auto_numbers.tex,3,C,,corpus/config parameter
\numEvaluators,paper/auto_numbers.tex,4,C,,corpus/config parameter
\numEvaluatorsAll,paper/auto_numbers.tex,6,C,,corpus/config parameter
\numEpisodes,paper/auto_numbers.tex,"16{,",C,,corpus/config parameter
\numForbidden,paper/auto_numbers.tex,212,A,,override
\numMust,paper/auto_numbers.tex,557,A,,override
\numShould,paper/auto_numbers.tex,0,A,,system/structural constant
\numBefore,paper/auto_numbers.tex,65,A,,override
\numWithin,paper/auto_numbers.tex,215,A,,override
\numShouldWithin,paper/auto_numbers.tex,0,A,,system/structural constant
\numHardConstraints,paper/auto_numbers.tex,1049,A,,override
\numSoftConstraints,paper/auto_numbers.tex,0,A,,override
\numTotalConstraints,paper/auto_numbers.tex,1049,A,,override
\overgenPercent,paper/auto_numbers.tex,81.6,A,,system/structural constant
\avgManualConstraints,paper/auto_numbers.tex,6.6,A,,system/structural constant
\avgEngineConstraints,paper/auto_numbers.tex,53.1,A,,system/structural constant
\expansionRatio,paper/auto_numbers.tex,8.0,A,,system/structural constant
\passrateDxEM,paper/auto_numbers.tex,100.0,B,Phase 2,verdict-dependent (pass)
\passtrateACProxy,paper/auto_numbers.tex,74.4,B,Phase 2,verdict-dependent (pass)
\passrateCTwo,paper/auto_numbers.tex,35.6,B,Phase 2,verdict-dependent (ctwo)
\passtrateMABProxy,paper/auto_numbers.tex,52.9,B,Phase 2,verdict-dependent (pass)
\passrateCGABench,paper/auto_numbers.tex,49.5,B,Phase 2,verdict-dependent (cga)
\bsrCondAC,paper/auto_numbers.tex,57.1,B,Phase 2,verdict-dependent (bsr)
\bsrCondMAB,paper/auto_numbers.tex,60.3,B,Phase 2,verdict-dependent (bsr)
\bsrCondCTwo,paper/auto_numbers.tex,39.3,B,Phase 2,verdict-dependent (ctwo)
\bsrCondDxEM,paper/auto_numbers.tex,50.5,B,Phase 2,verdict-dependent (bsr)
\etaEvaluator,paper/auto_numbers.tex,0.078,B,Phase 3,verdict-dependent (eta)
\etaRun,paper/auto_numbers.tex,<0.001,B,Phase 3,verdict-dependent (eta)
\etaRatio,paper/auto_numbers.tex,"200{,",B,Phase 3,verdict-dependent (eta)
\evalEntropy,paper/auto_numbers.tex,0.94,B,Phase 3,verdict-dependent (entropy)
\runInstability,paper/auto_numbers.tex,6.9,B,Phase 3,default (unclassified)
\wilcoxonP,paper/auto_numbers.tex,<0.001,B,Phase 3,verdict-dependent (wilcoxon)
\opTargetRate,paper/auto_numbers.tex,50,B,Phase 3,verdict-dependent (rate)
\numExtraForbidden,paper/auto_numbers.tex,927,A,,system/structural constant
\numExtraRequired,paper/auto_numbers.tex,3066,A,,system/structural constant
\numExtraBefore,paper/auto_numbers.tex,0,A,,system/structural constant
\numExtraWithin,paper/auto_numbers.tex,888,A,,system/structural constant
\numExtraAll,paper/auto_numbers.tex,4881,A,,system/structural constant
\precForbidden,paper/auto_numbers.tex,\textemdash,B,Phase 3,verdict-dependent (or)
\precRequired,paper/auto_numbers.tex,\textemdash,B,Phase 3,default (unclassified)
\precBefore,paper/auto_numbers.tex,\textemdash,B,Phase 3,verdict-dependent (or)
\precWithin,paper/auto_numbers.tex,\textemdash,B,Phase 3,verdict-dependent (hi)
\precAll,paper/auto_numbers.tex,65.2\%,B,Phase 3,default (unclassified)
\timingNWithinViols,paper/auto_numbers.tex,"14{,",B,Phase 3,verdict-dependent (hi)
\timingMeanMargin,paper/auto_numbers.tex,19.5,B,Phase 3,verdict-dependent (mean)
\timingMedianMargin,paper/auto_numbers.tex,10.0,B,Phase 3,verdict-dependent (median)
\timingPctBoundary,paper/auto_numbers.tex,33.5,B,Phase 3,verdict-dependent (timing)
\timingPctOverSixty,paper/auto_numbers.tex,7.1,B,Phase 3,verdict-dependent (timing)
\timingIsBoundary,paper/auto_numbers.tex,no,B,Phase 3,verdict-dependent (timing)
\timingJaccard,paper/auto_numbers.tex,0.734,B,Phase 3,verdict-dependent (timing)
\timingNScenariosAgree,paper/auto_numbers.tex,165,B,Phase 3,verdict-dependent (timing)
\geeMethod,paper/auto_numbers.tex,GEE logistic (exchangeable),B,Phase 3,verdict-dependent (gee)
\geeCoeffASC,paper/auto_numbers.tex,2.22,B,Phase 3,verdict-dependent (fa)
\geeCoeffCwT,paper/auto_numbers.tex,0.36,B,Phase 3,verdict-dependent (gee)
\geeCoeffPAF,paper/auto_numbers.tex,1.06,B,Phase 3,verdict-dependent (paf)
\geeORASC,paper/auto_numbers.tex,9.24,B,Phase 3,verdict-dependent (gee)
\geeORCwT,paper/auto_numbers.tex,1.44,B,Phase 3,verdict-dependent (gee)
\geeORPAF,paper/auto_numbers.tex,2.9,B,Phase 3,verdict-dependent (paf)
\friedmanChi,paper/auto_numbers.tex,0.1,B,Phase 3,verdict-dependent (hi)
\friedmanP,paper/auto_numbers.tex,0.99,B,Phase 3,verdict-dependent (friedman)
\kendallW,paper/auto_numbers.tex,0.408,B,Phase 3,verdict-dependent (kendall)
\reversalRate,paper/auto_numbers.tex,75.0,B,Phase 3,verdict-dependent (rate)
\topOneFlip,paper/auto_numbers.tex,yes,B,Phase 3,verdict-dependent (flip)
\deltaFAManual,paper/auto_numbers.tex,23.9,B,Phase 3,verdict-dependent (fa)
\deltaFAAuto,paper/auto_numbers.tex,53.4,B,Phase 3,verdict-dependent (fa)
\deltaFADelta,paper/auto_numbers.tex,29.4,B,Phase 3,verdict-dependent (fa)
\deltaAOManual,paper/auto_numbers.tex,21.6,B,Phase 3,verdict-dependent (delta)
\deltaAOAuto,paper/auto_numbers.tex,25.7,B,Phase 3,verdict-dependent (delta)
\newlyExposedCount,paper/auto_numbers.tex,782,B,Phase 3,verdict-dependent (count)
\newlyExposedRate,paper/auto_numbers.tex,20.7,B,Phase 3,verdict-dependent (rate)
\heldoutAllObliviousFA,paper/auto_numbers.tex,5.8,B,Phase 3,verdict-dependent (fa)
\heldoutAllObliviousCount,paper/auto_numbers.tex,92,B,Phase 4,verdict-dependent (count)
\heldoutAOPassRate,paper/auto_numbers.tex,9.3,B,Phase 2,verdict-dependent (heldout)
\heldoutCondFA,paper/auto_numbers.tex,62.2,B,Phase 3,verdict-dependent (fa)
\indomainAllObliviousFA,paper/auto_numbers.tex,12.2,B,Phase 3,verdict-dependent (fa)
\indomainCondFA,paper/auto_numbers.tex,37.1,B,Phase 3,verdict-dependent (fa)
\fisherPHeldoutAOFA,paper/auto_numbers.tex,$<$0.001,B,Phase 3,verdict-dependent (fa)
\crossReplayMABPass,paper/auto_numbers.tex,52.9,B,Phase 2,verdict-dependent (cross)
\crossReplayMABFA,paper/auto_numbers.tex,31.9,B,Phase 3,verdict-dependent (cross)
\crossReplayMABBlindPct,paper/auto_numbers.tex,60.3,B,Phase 3,verdict-dependent (blind)
\crossReplayACPass,paper/auto_numbers.tex,74.4,B,Phase 2,verdict-dependent (cross)
\crossReplayACFA,paper/auto_numbers.tex,42.5,B,Phase 3,verdict-dependent (cross)
\crossReplayACBlindPct,paper/auto_numbers.tex,54.7,B,Phase 3,verdict-dependent (blind)
\crossMABConverted,paper/auto_numbers.tex,1786,B,Phase 3,verdict-dependent (cross)
\crossMABNativePass,paper/auto_numbers.tex,62.8,B,Phase 2,verdict-dependent (cross)
\crossMABTCCFail,paper/auto_numbers.tex,74.7,B,Phase 3,verdict-dependent (cross)
\crossMABBlindPct,paper/auto_numbers.tex,78.0,B,Phase 3,verdict-dependent (blind)
\crossMABDomViol,paper/auto_numbers.tex,TIMING,B,Phase 3,verdict-dependent (cross)
\crossACConverted,paper/auto_numbers.tex,100,B,Phase 3,verdict-dependent (cross)
\crossACNativePass,paper/auto_numbers.tex,4.0,B,Phase 2,verdict-dependent (cross)
\crossACTCCFail,paper/auto_numbers.tex,100.0,B,Phase 3,verdict-dependent (cross)
\crossACBlindPct,paper/auto_numbers.tex,100.0,B,Phase 3,verdict-dependent (blind)
\crossACDomViol,paper/auto_numbers.tex,OMISSION,B,Phase 3,verdict-dependent (cross)
\mabNativePassRate,paper/auto_numbers.tex,62.8,B,Phase 2,verdict-dependent (native)
\mabPafAgreement,paper/auto_numbers.tex,95.9,B,Phase 3,verdict-dependent (paf)
\mabFalseAcceptRate,paper/auto_numbers.tex,48.9,B,Phase 3,verdict-dependent (fa)
\mabFalseAcceptCount,paper/auto_numbers.tex,5076,B,Phase 3,verdict-dependent (fa)
\mabBlindTiming,paper/auto_numbers.tex,3116,B,Phase 3,verdict-dependent (blind)
\mabBlindOrdering,paper/auto_numbers.tex,202,B,Phase 3,verdict-dependent (blind)
\mabBlindForbidden,paper/auto_numbers.tex,540,B,Phase 3,verdict-dependent (blind)
\vfManual,paper/auto_numbers.tex,93.8,B,Phase 3,default (unclassified)
\vfAuto,paper/auto_numbers.tex,88.0,B,Phase 3,verdict-dependent (fa)
\bsrManualAC,paper/auto_numbers.tex,39.6,B,Phase 2,verdict-dependent (bsr)
\bsrAutoAC,paper/auto_numbers.tex,58.5,B,Phase 2,verdict-dependent (bsr)
\violManual,paper/auto_numbers.tex,6.4,B,Phase 3,default (unclassified)
\violAuto,paper/auto_numbers.tex,8.0,B,Phase 3,default (unclassified)
\ctypeManual,paper/auto_numbers.tex,4,B,Phase 3,default (unclassified)
\ctypeAuto,paper/auto_numbers.tex,4,B,Phase 3,default (unclassified)
\vfHeldout,paper/auto_numbers.tex,92.5,B,Phase 4,verdict-dependent (heldout)
\bsrHeldoutAC,paper/auto_numbers.tex,71.6,B,Phase 2,verdict-dependent (heldout)
\cohenDDifficulty,paper/auto_numbers.tex,-0.27,B,Phase 3,verdict-dependent (cohen)
\spearmanManualAuto,paper/auto_numbers.tex,0.89,B,Phase 3,verdict-dependent (spearman)
\silhouetteKThree,paper/auto_numbers.tex,0.504,B,Phase 3,verdict-dependent (silhouette)
\mimicACDetectionLoss,paper/auto_numbers.tex,84.2,B,Phase 2,override
\mimicMABDetectionLoss,paper/auto_numbers.tex,63.2,B,Phase 2,override
\mimicACFA,paper/auto_numbers.tex,42.5,B,Phase 3,verdict-dependent (fa)
\mimicMABFA,paper/auto_numbers.tex,31.9,B,Phase 3,verdict-dependent (fa)
\mimicACPassRate,paper/auto_numbers.tex,74.4,B,Phase 2,verdict-dependent (pass)
\mimicMABPassRate,paper/auto_numbers.tex,53.0,B,Phase 2,verdict-dependent (pass)
\mimicTCCPassRate,paper/auto_numbers.tex,49.5,B,Phase 2,verdict-dependent (tcc)
\mimicACGainN,paper/auto_numbers.tex,7202,B,Phase 3,verdict-dependent (cga)
\mimicACGain,paper/auto_numbers.tex,57.1,B,Phase 3,verdict-dependent (cga)
\consensusFATotal,paper/auto_numbers.tex,1959,B,Phase 3,verdict-dependent (fa)
\consensusFARate,paper/auto_numbers.tex,11.6,B,Phase 3,verdict-dependent (fa)
\consensusFACritical,paper/auto_numbers.tex,432,B,Phase 3,verdict-dependent (fa)
\consensusFACriticalPct,paper/auto_numbers.tex,22.1,B,Phase 3,verdict-dependent (fa)
\consensusFAHigh,paper/auto_numbers.tex,101,B,Phase 3,verdict-dependent (fa)
\consensusFAMedium,paper/auto_numbers.tex,1426,B,Phase 3,verdict-dependent (fa)
